Recency,Frequency,Monetary,Segment
325,1,77183.6,Active valuable
1,7,4310.0,Occasional
74,4,1797.24,Occasional
18,1,1757.55,Occasional
309,1,334.40000000000003,Churned
35,8,2506.04,Occasional
203,1,89.0,Churned
231,1,1079.4,Churned
213,1,459.4,Churned
22,3,2811.43,Occasional
32,1,6207.67,Occasional
1,2,1168.06,Occasional
57,4,6310.03,Occasional
51,3,2662.06,Occasional
286,1,189.9,Churned
2,10,5226.2300000000005,Occasional
109,2,552.0,Occasional
7,4,1313.1,Occasional
290,2,641.38,Churned
3,1,168.9,Occasional
50,4,3541.94,Occasional
44,2,1887.96,Occasional
71,3,1298.04,Occasional
310,1,364.6,Churned
24,1,742.9300000000001,Occasional
10,2,457.5,Occasional
314,2,1628.12,Churned
129,1,4008.62,Occasional
81,2,852.24,Occasional
21,4,2724.81,Occasional
4,5,1845.31,Occasional
184,5,1850.56,Churned
28,2,585.27,Occasional
337,2,401.9,Churned
15,6,2780.6600000000003,Occasional
79,1,549.84,Occasional
21,1,439.66,Occasional
71,4,1582.6,Occasional
63,2,1272.48,Occasional
18,12,3018.63,Occasional
35,2,2409.9,Occasional
45,1,1635.66,Occasional
118,4,1108.65,Occasional
302,1,84.3,Churned
322,1,225.6,Churned
49,1,427.7,Occasional
148,1,1710.39,Churned
21,2,3415.3,Occasional
49,5,1708.12,Occasional
32,5,2888.55,Occasional
78,3,11072.67,Occasional
308,2,693.33,Churned
74,3,1226.88,Occasional
66,3,758.1,Occasional
216,3,562.4100000000001,Churned
23,21,124914.53,VIP
2,9,3649.1,Occasional
112,1,668.58,Occasional
63,1,600.39,Occasional
15,4,807.04,Occasional
95,3,803.5600000000001,Occasional
0,8,1859.31,Occasional
162,2,1760.96,Churned
77,1,777.2,Occasional
194,1,582.73,Churned
21,3,825.8000000000001,Occasional
25,9,7956.46,Occasional
8,4,3750.4,Occasional
42,1,256.4,Occasional
35,15,6419.95,Active valuable
42,5,5059.32,Occasional
0,7,13375.87,Occasional
84,2,806.14,Occasional
79,2,7829.89,Occasional
99,1,509.01,Occasional
1,18,4951.41,Active valuable
13,2,2906.85,Occasional
366,1,173.55,Churned
2,1,172.06,Occasional
20,5,5005.46,Occasional
21,1,133.4,Occasional
57,1,1002.31,Occasional
242,1,476.49,Churned
43,1,449.45,Occasional
21,4,4067.29,Occasional
155,2,197.88,Churned
10,5,9035.52,Occasional
16,2,430.5700000000001,Occasional
133,1,707.09,Occasional
55,1,3528.34,Occasional
72,6,2466.86,Occasional
43,3,3181.04,Occasional
65,7,2363.23,Occasional
70,2,947.4,Occasional
93,2,826.88,Occasional
18,2,1189.59,Occasional
52,4,1344.78,Occasional
9,8,1212.05,Occasional
16,2,742.19,Occasional
187,2,729.54,Churned
1,30,19788.65,Active valuable
31,7,6572.11,Occasional
28,5,3928.05,Occasional
16,18,7324.09,Active valuable
53,1,723.38,Occasional
15,11,6816.42,Occasional
22,6,13219.74,Occasional
3,1,680.99,Occasional
10,1,527.2,Occasional
27,4,3281.63,Occasional
22,10,5579.82,Occasional
16,8,2484.98,Occasional
32,6,4527.32,Occasional
9,3,1298.66,Occasional
335,1,334.93,Churned
4,10,5417.93,Occasional
38,1,460.4,Occasional
62,2,263.21000000000004,Occasional
165,2,433.74,Churned
15,7,1246.1,Occasional
81,1,1043.1,Occasional
20,3,403.7000000000001,Occasional
22,11,4257.82,Occasional
336,1,2169.39,Churned
95,5,3723.87,Occasional
17,2,482.05,Occasional
232,1,73.5,Churned
133,3,1304.81,Occasional
25,2,397.88,Occasional
283,1,176.5,Churned
142,2,982.57,Occasional
65,2,132.18,Occasional
112,1,612.29,Occasional
266,1,1017.68,Churned
352,1,383.7,Churned
77,2,1312.06,Occasional
27,5,2481.6,Occasional
0,5,2056.89,Occasional
63,1,330.84000000000003,Occasional
78,5,2634.26,Occasional
142,1,599.68,Churned
38,2,192.72,Occasional
18,11,1789.77,Occasional
8,8,4485.72,Occasional
0,3,1316.66,Occasional
81,3,348.71000000000004,Occasional
8,6,1933.48,Occasional
59,4,1662.28,Occasional
14,1,125.22,Occasional
29,1,349.83000000000004,Occasional
130,1,1089.18,Occasional
91,2,716.35,Occasional
42,3,12601.830000000002,Occasional
28,1,363.95,Occasional
21,4,5568.35,Occasional
19,17,13400.24,Active valuable
29,3,981.18,Occasional
35,1,372.7,Occasional
74,2,1000.39,Occasional
46,2,1161.5,Occasional
197,2,207.8,Churned
165,1,95.2,Churned
78,1,964.83,Occasional
357,1,168.0,Churned
38,2,437.82,Occasional
7,10,3692.28,Occasional
49,2,599.56,Occasional
15,5,11990.96,Occasional
7,1,269.96,Occasional
310,2,561.71,Churned
4,3,2134.01,Occasional
302,1,238.85,Churned
7,7,3781.74,Occasional
260,1,456.9,Churned
288,1,145.92000000000002,Churned
85,1,351.65,Occasional
22,10,9401.28,Occasional
1,32,4124.6900000000005,Active valuable
